,name,trail_id
604,Skyline to the Sea and Meteor Trail Loop,604
605,Spruce Grove Campground Trail,605
606,Jennie and Weaver Lakes Loop Trail,606
607,High Peaks Trail,607
608,"Granite Lake, Dick's Lake, Velma Lake, and Eagle Lake Loop",608
609,Monument Peak Trail,609
610,Foresthill Divide Loop Trail,610
611,Sycamore Canyon Preserve,611
612,Sherwin Lakes Trail,612
613,Martis Peak Trail,613
614,Stout Memorial Grove Trail,614
615,Chumash Trail,615
616,Black Diamond Mines Loop Trail,616
617,Muir Woods Trails,617
618,South Fork Trail to San Gorgonio Mountain via Mine Shaft Saddle,618
619,Sweetwater Trail,619
620,Champion Lodgepole via Castle Rock Trail,620
621,Mount Lukens Via Dunsmore Canyon,621
622,Rock Creek to Long Lake Trail,622
623,Paradise Valley Trail,623
624,Satwiwa Loop and Old Boney Trail,624
625,Lexington Reservoir Trail,625
626,Signal Hill Trail,626
627,Rocky Ridge Loop Trail,627
628,Stinson Beach to Mount Tamalpais,628
629,Eagle Springs Fire Road Loop Trail,629
630,Black Mountain via Rhus Ridge,630
631,"Grouse, Hemlock, and Smith Lake Trail",631
632,Cinder Cone Nature Trail,632
633,Cholla Cactus Garden Nature Trail,633
634,Saratoga Gap Long Ridge Loop Trail,634
635,Rock-It Loop Trail,635
636,Nighthawk Trail to Black Mountain Summit,636
637,Bishop Pass Trail,637
638,Tuolumne Meadows to Glen Aulin High Sierra Camp,638
639,San Gabriel Peak Trail,639
640,Blue Ridge Trail,640
641,Euchre Bar Trail,641
642,Gliderport to Black's Beach,642
643,Little Canyon Loop,643
644,Valido Trail,644
645,Monterey Peninsula Recreational Trail,645
646,Zanja Peak Trail,646
647,Sullivan Canyon Trail,647
648,San Juan Rapids Trail,648
649,Black Rock Canyon to Panorama Loop Trail,649
650,Stanislaus River Trail From Knights Ferry,650
651,Big Meadow to Round Lake,651
652,San Clemente Canyon Trail,652
653,Sayles Canyon Trail,653
654,Hetch Hetchy Trail to Rancheria Falls,654
655,China Camp State Park Loop,655
656,Sunset Trail to Laguna Meadows Loop,656
657,Aliso Summit Trail,657
658,Arnold Rim Trail,658
659,Jesusita Trail,659
660,Art Smith Trail,660
661,Pa'san Ridge Trail,661
662,Coast Trail to Wildcat Camp,662
663,Brokeoff Mountain Trail,663
664,Summit Lake Trail,664
665,Whiskeytown Falls Trail,665
666,Fern Canyon Trail,666
667,Dipsea Trail to Steep Ravine Trail Loop from Pantoll,667
668,Kings Creek Falls Trail,668
669,Mount Wilson via Chantry Flats,669
670,Rim Trail via Olmstead Loop Trail,670
671,Ortega Falls,671
672,Old Ranch Loop Trail,672
673,Huckleberry Nature Path Trail,673
674,Dunn Trail and Monteiro Trail Loop,674
675,Buttermilk Bend Trail,675
676,Sycamore Canyon Park Trail,676
677,King's Canyon Loop Trail,677
678,Point Loma Tidepools and Bluffs Trail,678
679,Quail Loop Trail,679
680,Bob Jones City to the Sea Bike Trail,680
681,Mount Whitney Portal to Lone Pine Lake,681
682,Brown Mountain/El Prieto Trail,682
683,Bald Mountain Trail,683
684,Twenty Lakes Basin Loop Trail,684
685,Stoddard Peak Trail,685
686,Butler Peak Trail,686
687,China Cove Trail Loop,687
688,Clevenger Canyon South West Trail,688
689,Elysian Park West Loop Trail,689
690,West Cliff Drive,690
691,Mastodon Peak Loop Trail,691
692,Ocean View Trail and Canyon View Trail,692
693,Castle Dome Trail,693
694,Fern Lake Trail,694
695,Crooked Lakes Trail to Penner Lake,695
696,Piedras Pintadas Interpretive Trail,696
697,Coast Camp/Laguna Loop,697
698,Cave Landing and Pirate's Cove from Shell Beach,698
